string2 0,string 1,empty 2
char_SHELLMON,Шеллмон,
char_MONOCHROMON,Монохромон,
char_YUKIDARUMON,Юкидарумон,
char_MOJYAMON,Моджамон,
char_CENTALMON,Кенталмон,
char_DRIMOGEMON,Дримогемон,
char_DIGITAMAMON,Дигитамамон,
char_NANIMON,Нанимон,
char_TONOSAMAGEKOMON,Тоносама Гэкомон,
char_WIZARDMON,Визармон,
char_DELUMON,Делюмон,
char_JYUREIMON,Дзюреймон,
char_JYUREIMON_BIG,Дзюреймон,
char_GERBEMON,Гербемон,
char_MAGNAMON,Магнамон,
char_MAGNAMON_BIG,Магнамон,
char_RUSTTYRANOMON,РастТиранномон,
char_MUGENDRAMON,Мугендрамон,
char_MUGENDRAMON_BIG,Мугендрамон,
char_BUBBMON,Баббмон,
char_MOCHIMON,Мотимон,
char_BETAMON,Бэтамон,
char_LUCEMON,Люцимон,
char_RENAMON,Ренамон,
char_WORMMON,Ворммон,
char_WOODMON,Вудмон,
char_ORGEMON,Оргмон,
char_KYUBIMON,Кьюбимон,
char_DORUGAMON,ДОРУгамон,
char_V-DRAMON,Ви-драмон,
char_CLOCKMON,Клокмон,
char_GEKOMON,Гэкомон,
char_AEROVEEDRAMON,Аэро Ви-драмон,
char_OKUWAMON,Окувамон,
char_GIGADRAMON,Гигадрамон,
char_GRAPLEOMON,ГрапЛеомон,
char_SKULLGREYMON,Скалл Греймон,
char_SKULLGREYMON_BIG,Скалл Греймон,
char_TAOMON,Таомон,
char_DEATHMERAMON,Дес Мерамон,
char_DORUGREYMON,ДОРУгремон,
char_PAILDRAMON,Пейлдрамон,
char_PANJYAMON,Панджамон,
char_PICKLEMON,Пикмон,
char_VADEMON,Вейдмон,
char_MAMEMON,Мамемон,
char_METALMAMEMON,Металл Мамемон,
char_PARROTMON,Пэрротмон,
char_ALPHAMON,Альфамон,
char_ALPHAMON_BIG,Альфамон,
char_ULFORCEVDRAMON,Алфорс Ви-драмон,
char_ULFORCEVDRAMON_BIG,Алфорс Ви-драмон,
char_IMPERIALDRAMON_FM,Империалдрамон: Режим Бойца,
char_IMPERIALDRAMON_PM,Империалдрамон: Режим Паладина,
char_OPHANIMON,Офанимон,
char_CHAOSDRAMON,Хаосдрамон,
char_GRANKUWAGAMON,ГранКувагамон,
char_GRANKUWAGAMON_BIG,ГранКувагамон,
char_SABERLEOMON,Сэйбер Леомон,
char_SAKUYAMON,Сакуямон,
char_HIANDROMON,ХиАндромон,
char_PIEDMON,Пьемон,
char_PINOCHIMON,Пиноккимон,
char_PRINCEMAMEMON,ПринцМамемон,
char_BOLTMON,Болтмон,
char_METALSEADRAMON,Металл Сидрамон,
char_LUCEMON_SM,Люцимон: режим Сатаны,
char_LUCEMON_SM_BIG,Люцимон: режим Сатаны,
char_PUNIMON,Пунимон,
char_TUNOMON,Цуномон,
char_BELPHEMON_SM,Бельфемон: Режим сна,
char_BELPHEMON_SM_BIG,Бельфемон: Режим сна,
char_TITAMON,Титамон,
char_TITAMON_BIG,Титамон,
char_TITAMON_2,Титамон (берсерк),
char_TITAMON_ADD,Титамон (двойные клинки),
char_TITAMON_TWIN BLADE,Титамон (двойные лезвия),
char_PLESIOMON,Плезиомон,
char_EBEMON,ЭБЭмон,
char_CYCLONEMON,Цикломон,
char_HOLYDRAMON,Холидрамон,
char_WASPMON,Васпмон,
char_KARATUKINUMEMON,КарацукиНумемон,
char_REVOLMON,Револьмон,
char_DRACUMON,Дракумон,
char_MONODRAMON,Монодрамон,
char_SKULLMAMMON,СкаллМаммон,
char_BLIMPMON,Блимпмон,
char_MASTERBLIMPMON,МастерБлимпмон,
char_DORIMON,Доримон,
char_DINOHUMON,Динохьюмон,
char_LOADERLIOMON,Лоадер Лиомон,
char_JEWELBEEMON,Джуэлбимон,
char_AGUMON_KIZUNA,Агумон (Узы храбрости),
char_GABUMON_KIZUNA,Габумон (узы дружбы),
char_GREATGRYZMON,ГрейтГриззмон,
char_CHARISMON,Каллисмон,
char_CHARISMON_LAST,Каллисмон,
char_UNDEADPLUTOMON,ЗомбиПлутомон,
char_PYOCOMON,Пьёкомон,
char_TANEMON,Танэмон,
char_PUKAMON,Пукамон,
char_NYAROMON,Няромон,
char_YUNIMON,Юнимон,
char_ELECMON,Элекмон,
char_PAGUMON,Пагумон,
char_GAZIMON,Газимон,
char_HYOKOMON,Хёкомон,
char_BURAIMON,Бураимон,
char_BUTEN,Бутенмон,
char_NANOMON,Наномон,
char_SHAMAMON,Шамамон,
char_SNOWGOBURIMON,Сноу Гобуримон,
char_FUGAMON,Фугамон,
char_HYOUGAMON,Хёгамон,
char_OTAMAMON,Отамамон,
char_FANTOMON,Фантомон,
char_FLYMON,Флаймон,
char_MAMMON,Маммон,
char_MAMMON_BIG,Маммон,
char_RAREMON,Рэйрмон,
char_DOKUGUMON,Докугумон,
char_GIZAMON,Гизамон,
char_GOTTSUMON,Готцумон,
char_PUMPMON,Пампмон,
char_SNIMON,Снаймон,
char_TUSKMON,Таскмон,
char_VENOMMYOTISMON,ВеномВамдемон,
char_VENOMMYOTISMON_BIG,ВеномВамдемон,
char_WITCHMON,Витчмон,
char_WITCHMON_ADD,Витчмон (Левая Рука),
char_MISTYMON,Мистимон,
char_MEDIEVALDUKEMON,Средневековый Дюкмон,
char_GRACENOVAMON,Грейс Новамон,
char_GRACENOVAMON_SUB,Грейс Новамон,
char_GRACENOVAMON_BIG,Грейс Новамон,
char_ANOMALOCARIMON,Аномалокаримон,
char_ANOMALOCARIMON_BIG,Аномалокаримон,
char_HANGYOMON,Хангёмон,
char_HANGYOMON_SCAR,Хангёмон,
char_HANGYOMON_SCARF,Хангёмон,
char_MUSHMON,Машмон,
char_KOKUWAMON,Кокувамон,
char_KIWIMON,Кивимон,
char_FLORAMON,Флорамон,
char_CLAVISANGEMON,Клавис Ангемон,
char_CLAVISANGEMON_BIG,Клавис Ангемон,
char_SLASHANGEMON,СлэшАнгемон,
char_MECHANORIMON,Механоримон,
char_MAGNAKIDMON,МагнаКидмон,
char_AVENGEKIDMON,АвенжКидмон,
char_TANKMON,Танкмон,
char_PENMON,Пинмон,
char_MUCHOMON,Мучомон,
char_KERAMON,Керамон,
char_INFERMON,Инфермон,
char_INFERMON_BIG,Инфермон,
char_KURAMON,Курамон,
char_KURISARIMON,Хризалимон,
char_TSUMEMON,Цумэмон,
char_DIABOROMON,Диабломон,
char_ALDAMON,Алдамон,
char_BEOWOLFMON,Беовульфмон,
char_MAGNAGARURUMON_SEPARATION,Магна Гарурумон (открепленный),
char_AGNIMON,Агнимон,
char_KAISERGREYMON,Кайзер Греймон,
char_MAGNAGARURUMON,Магна Гарурумон,
char_VRITRAMON,Вритрамон,
char_WOLFMON,Вольфмон,
char_GARUMMON,Гаруммон,
char_SHOUTMON,Шаутмон,
char_OMEGASHOUTMON,Омега Шаутмон,
char_HACKMON,Хакмон,
char_GANKOOMON,Гэнкумон,
char_ZUBAMON,Зубамон,
char_ZUBAEAGERMON,Зубаигермон,
char_DURAMON,Дюрамон,
char_DURANDAMON,Дюрандамон,
char_TERRIERMON,Терьермон,
char_PECKMON,Пекмон,
char_LOADKNIGHTMON,Лорд Найтмон,
char_LOADKNIGHTMON_BIG,Лорд Найтмон,
char_GROUNDLOCOMON,ГрандЛокомон,
char_FALCOMON,Фалькомон,
char_HAWKMON,Хоукмон,
char_ARMADILLOMON,Армадимон,
char_TOYAGUMON,Той Агумон,
char_TOYAGUMON_BIG,Той Агумон,
char_SHAKOMON,Сякомон,
char_GARGOMON,Гальгомон,
char_ANKYLOMON,Анкиломон,
char_FLAMEDRAMON,Фладрамон,
char_KNIGHTMON,Найтмон,
char_CYBERDRAMON,Кибердрамон,
char_SILPHYMON,Сильфимон,
char_YATAGARAMON,Ятагарамон,
char_RAPIDMON,Рэпидмон,
char_SHAKKOUMON,Шаккумон,
char_BRAKIMON,Брахимон,
char_ULTIMATEBRAKIMON,УльтимейтБрахимон,
char_WISEMON,Вайзмон,
char_CANNONBEEMON,КэнонБиимон,
char_SOLARMON,Солармон,
char_GEREMON,Геремон,
char_ICEDEVIMON,АйсДевимон,
char_ANTYLAMON,Андиромон,
char_IMPERIALDRAMON_DM,Империалдрамон: Режим дракона,
char_DIANAMON,Дианамон,
char_DIANAMON_BIG,Дианамон,
char_CRANIAMON,Краниуммон,
char_CRANIAMON_BIG,Краниуммон,
char_KERPYMON_GOOD,Херувимон (Добродетельный),
char_JUSTIMON,Джастимон,
char_DYNASMON,Динасмон,
char_DYNASMON_BIG,Динасмон,
char_DUFTMON,Дуфтмон,
char_DUFTMON_BIG,Дуфтмон,
char_RAVEMON,Равемон,
char_SAINTGALGOMON,Сен Гальгомон,
char_SAINTGALGOMON_BIG,Сен Гальгомон,
char_LOTOSMON,Лотусмон,
char_DUFTMON_LM,Дуфтмон: Режим леопарда,
char_GAIOMON,Гайоумон,
char_TIGERVESPAMON,ТигерВеспамон,
char_MINERVAMON,Минервамон,
char_MASTEMON,Мастемон,
char_JESMON,Джесмон,
char_JESMON_BIG,Джесмон,
char_LOPMON,Лопмон,
char_RAPIDMON_ARMOR,Рапидмон (Броня),
char_RAPIDMON_ARMOR_BIG,Рапидмон (Броня),
char_PLATINUM_SCUMON,ПлатинумСкамон,
char_BLACKKINGNUMEMON,БлэкКингНумемон,
char_KUZUHAMON,Кудзухамон,
char_SOCERIMON,Сорсеримон,
char_INSEKIMON,Инсэкимон,
char_OMEGAMON_ZWART,Омегамон Цварт,
char_ICEMON,Айсмон,
char_TUCHIDARUMON,Цучидарумон,
char_GUARDROMON_GL,Гардромон (золотой),
char_ALPHAMON_OURYUKEN,Альфамон: Орюкен,
char_BACCHUSMON_DRUNK,Вакхмон: Режим опьянения,
char_TANKDRAMON,Танкдрамон,
char_DARKDRAMON,Даркдрамон,
char_CHAOSMON,Хаосмон,
char_VALKYRIMON,Валькиримон,
char_KERPYMON_BAD,Херувимон (Порочный),
char_BEELZEMON_BM,Вельзевумон: Бласт-режим,
char_BEELZEMON_BM_BIG,Вельзевумон: Бласт-режим,
char_SHINEGREYMON_BM,Шайн Греймон: Взрывной режим,
char_MIRAGEGAOGAMON_BM,Мираж Гаогамон: Взрывной режим,
char_RAVEMON_BM,Равемон: Взрывной режим,
char_ROSEMON_BM,Роузмон: Взрывной режим,
char_VULCANUS_LIGHTARM,Правая Рука,
char_VULCANUS_LEFTARM,Левая Рука,
char_CHRONOMONROBO_COMPLETE,Гигант Слейер,
char_CHRONOMON_BOSS_EVENT,Хрономон,
char_CHRONOMON_BOSS,Хрономон,
char_CHRONOMON_BOSS_WING,Хрономон (Крылья),
char_CHRONOMON_BOSS_ADD_RIGHTWING,Хрономон (П. Морда),
char_CHRONOMON_BOSS_ADD_LEFTWING,Хрономон (Л. Морда),
char_CHRONOMON_BOSS_LEFTARM,Хрономон (Левая рука),
char_CHRONOMON_BOSS_CORE,Хрономон (Ядро),
char_CHRONOMON_BOSS_RIGHTWING,Хрономон (Правое крыло),
char_CHRONOMON_BOSS_LEFTWING,Хрономон (Левое крыло),
char_CHRONOMON_BOSS_LEFTARM1,Хрономон (Ошибка A),
char_CHRONOMON_BOSS_LEFTARM2,Хрономон (Ошибка B),
char_CHRONOMON_BOSS_LEFTARM3,Хрономон (Ошибка C),
char_CHRONOMON_BOSS_LEFTARM4,Хрономон (Ошибка D),
char_CHRONOMON_BOSS_LEFTARM5,Хрономон (Ошибка E),
char_CHRONOMON_BOSS_LEFTARM6,Хрономон (Ошибка F),
char_BLACKSHADOW,Темная Тень,
char_SHARKMON_BOSS,Шаркмон,
char_SHARKMON_BOSS_ADD,Шаркмон (Джаспер),
char_SHARKMON,Шаркмон,
char_SKULLSEADRAMON,СкулСидрамон,
char_SKULLSEADRAMON_BOSS,СкулСидрамон,
char_SKULLSEADRAMON_ADD,СкулСидрамон (Ядро),
char_RAREMON_BIG,Рэйрмон,
char_CYCLONEMON_BIG,Цикломон,
char_GREYMON_BIG_BL,Греймон (Синий),
char_GREYMON_BIG_BL_ADD,Греймон (головной убор),
char_SKULLBALUCHIMON_TITAMON,Титамон + СкаллБалучимон,
char_SKULLBALUCHIMON_TITAMON_BIG,Титамон + СкаллБалучимон,
char_UNDEADPLUTOMON_BOSS,ЗомбиПлутомон,
char_UNDEADPLUTOMON_BOSS_ADD1,ЗомбиПлутомон (Правое плечо),
char_UNDEADPLUTOMON_BOSS_ADD2,ЗомбиПлутомон (Левое плечо),
char_UNDEADPLUTOMON_BOSS_ADD3,ЗомбиПлутомон (Правое бедро),
char_UNDEADPLUTOMON_BOSS_ADD4,ЗомбиПлутомон (Левое бедро),
char_CHARISMON_ADD,Каллисмон (пистолет),
char_DIANAMON_ADD,Дианамон,
char_LOCOMON_EVENT,Локомон (событие),
char_ULTIMATEBRAKIMON_BIG,УльтимейтБрахимон,
char_ENBARRMON,Энбаррмон,
char_ENBARRMON_BIG,Энбаррмон,
char_ENBARRMON_CRANIAMON,Энбаррмон,
char_ENBARRMON_CRANIAMON_E,Энбаррмон,
char_BLIMPMON_RAMP,Блимпмон (Ловушка),
char_MASTERBLIMPMON_RAMP,МастерБлимпмон (Ловушка),
char_PARROTMON_BIG,Пэрротмон,
char_PARROTMON_BIG_ADD,Пэрротмон (гребень),
char_VULCANUSMON_ADD,Вулканусмон,
char_POWER_LOADER,Силовой Погрузчик,
char_PUBLICSAFETY_BATTLE,Сотрудник общественной безопасности,
char_METALGREYMON_BIG_BL,Металл Греймон (синий),
char_WHAMON_BIG,Уэмон,
char_NEPTUNEMON_BIG,Нептунмон,
char_MERCURYMON_BIG,Меркуримон,
char_OMEGAMON_BIG,Омегамон,
char_APOLLOMON_BIG,Аполломон,
char_CERESMON_BIG,Церемон,
char_PLUTOMON_BIG,Плутомон,
char_JUPITERMON_BIG,Юпитермон,
char_JUPITERMON_WRATHMODE_BIG,Юпитермон: Режим гнева,
char_KUWAGAMON_BIG,Кувагамон,
char_UKKOMON,Уккомон,
char_ORGEMON_BOSS,Оргмон,
char_FUGAMON_BOSS,Фугамон,
char_HYOUGAMON_BOSS,Хёгамон,
char_PLAYER_M,{player},
char_PLAYER_F,{player},
char_OPERATOR_M,Оператор,
char_OPERATOR_F,Оператор,
char_OPERATOR,Оператор,
char_INORI,Инори Мисоно,
char_TAKEMIYA,Косуке Мисоно,
char_HIROKO,Хироко Сагисака,
char_SIMMONS,Доктор Симмонс,
char_MONIKA_SIMMONS,Моника Симмонс,
char_KUREMI,Кодаи Куреми,
char_SUMERAGI,Шота Курой,
char_TOUDO,Асуна Широки,
char_TOUDO_B,Асуна Широки,
char_HOMEROS,Гомерос,
char_YGGDRASILL,Король Драсил,
char_TOUHO,Куньлунь,
char_MIREI,Мирей Микагура,
char_MIREI_CHILD,Мирей Микагура,
char_SAWABE,Савабе,
char_PUBLICSAFETY_MOB_B,Сотрудник Общественной Безопасности B,
char_PUBLICSAFETY_MOB_C,Сотрудник Общественной Безопасности C,
char_KUGA,Тоя Куга,
char_DR_KUGA,Доктор Куга,
char_YUUTA,Юноша в толстовке,
char_MAN_ON_THE_PHONE,Мужчина по телефону,
char_VOICE_SOMEWHERE,Знакомый голос,
char_WOMEN_HOLDING_A_LOLLIPOP,Женщина с леденцом,
char_CAPTAIN,Капитан,
char_SUMERAGI_VOICE,Мужской голос (Коу),
char_DIGNIFIED_VOICE,Величавый голос,
char_HOMEROS_SLEEPY_GIRL,Сонная девушка,
char_YGGDRASILL_SELFISH_GIRL,Надменная девушка,
char_TOUHO_CALM_BOY,Спокойный мальчик,
char_GIRL_VOICE,Девичий голос,
char_SAWABE_VOICE,Мужской голос (Савабе),
char_KYOSUKE,Голос Киосукэ,
char_CAPTAIN_VOICE,Мужской голос (капитан),
char_MAN_IN_SUIT,Мужчина в костюме,
char_WOMAN_IN_SUIT,Женщина в костюме,
char_SAWABE_MEMBER,Офицер (Савабе),
char_CAPTAIN_RADIO,Голос по радио (капитан),
char_THE_VOICE_ONCE_HEARD,Знакомый голос,
char_MAYBE_LEADER,"Мужчина (похоже, лидер)",
char_TOUDO_VOICE,Голос Тодо,
char_NARRATION,Повествование,
char_MYSTERIOUS_GIRL,Таинственная девушка,
char_PROTECTED_GIRL,Девушка под охраной,
char_GLASSES_WEARING_MAN,Мужчина в очках,
char_TAKEMIYA_8YEARSLATER,Косуке Мисоно,
char_HIROKO_8YEARSLATER,Хироко Сагисака,
char_SUMERAGI_8YEARSLATER,Шота Курой,
char_TOUDO_8YEARSLATER,Асуна Широки,
char_MAYBE_INORI_VOICE,Голос Инори Мисоно?,
char_HIROKO_FIRST,Хироко,
char_INORI_AEGIOMON,Инори и Эгиомон,
char_???,???,
char_DIGIVICE,Дигивайс,
char_CALLER,Человек по телефону,
char_EMERGENCY_BROADCAST,Экстренная трансляция,
char_MYSTERIOUS_DIGIMON,Загадочный дигимон,
char_STRONG_VOICE,Властный голос,
char_STRONG_VOICE_DIGIMON,Дигимон с властным голосом,
char_DIGIMON_CALLED_MY_SISTER,Дигимон по прозвищу «Сестрёнка»,
char_CORONAMON_LUNAMON,Коронамон и Лунамон,
char_SMALL_SHADOW,Маленькая Тень,
char_DIGIMON_WAS_ELECMON,Бывший Элекмон,
char_GREENGROCER,Продавец овощей,
char_STRAY_DIGIMON,Дикий дигимон,
char_STRAY_DIGIMONS,Стая диких дигимонов,
char_POLICEMAN,Офицер полиции,
char_TOKOMON_HOLDING_A_LOLLIPOP,Токомон с Леденцом на палочке,
char_SCREAM,Вопль,
char_PASSERBY_WOMAN,Прохожая,
char_PASSERBY_MAN,Прохожий,
char_HIGH_SCHOOL_BOY,Старшеклассник,
char_HIGH_SCHOOL_GIRL,Старшеклассница,
char_CHEERFUL_VOICE,Знакомый бодрый голос,
